Subject,Start Date,Start Time
LNG vs TL,2021-10-18,21:00
LNG vs GEN,2021-10-18,22:00
MAD vs TL,2021-10-18,23:00
TL vs GEN,2021-10-19,00:00
LNG vs MAD,2021-10-19,01:00
T1 vs HLE,2021-10-22,21:00
RNG vs EDG,2021-10-23,21:00
DK vs MAD,2021-10-24,21:00
GEN vs C9,2021-10-25,21:00
DK vs T1,2021-10-30,21:00
GEN vs EDG,2021-10-31,21:00
DK vs EDG,2021-11-06,21:00
